"id","woonplaats","gemeente","provincie","latitude","longitude"
313,"Zaandijk","Zaanstad","Noord-Holland",52.4740433,4.8028179
314,"Jisp","Wormerland","Noord-Holland",52.5078271,4.8483414
315,"Westzaan","Zaanstad","Noord-Holland",52.4989308,4.8004434
317,"Krommenie","Zaanstad","Noord-Holland",52.4989308,4.8004434
320,"Assendelft","Zaanstad","Noord-Holland",52.4691062,4.7396672
322,"Enkhuizen","Enkhuizen","Noord-Holland",52.7040983,5.2948557
325,"Venhuizen","Drechterland","Noord-Holland",52.6646778,5.2065474
326,"Hem","Drechterland","Noord-Holland",52.661111,5.183056
327,"Wijdenes","Drechterland","Noord-Holland",52.6364914,5.157782
328,"Oosterleek","Drechterland","Noord-Holland",52.6389783,5.1971095
329,"Bovenkarspel","Stede Broec","Noord-Holland",52.3878721,4.9500197
331,"Grootebroek","Stede Broec","Noord-Holland",52.6982227,5.2229184
332,"Lutjebroek","Stede Broec","Noord-Holland",52.6983506,5.2057581
333,"Hoogkarspel","Drechterland","Noord-Holland",52.6925934,5.1652989
334,"Westwoud","Drechterland","Noord-Holland",52.6849913,5.1342075
335,"Andijk","Medemblik","Noord-Holland",52.7454906,5.2208756
336,"Hoorn","Hoorn","Noord-Holland",52.6467478,5.0469633
344,"Oudendijk","Koggenland","Noord-Holland",52.6010281,4.966909
345,"Avenhorn","Koggenland","Noord-Holland",52.6194727,4.9527342
346,"Scharwoude","Koggenland","Noord-Holland",52.6221832,5.0124124
347,"Schermerhorn","Alkmaar","Noord-Holland",52.6005503,4.8897767
348,"Spierdijk","Koggenland","Noord-Holland",52.6454451,4.9408649
351,"Ursem","Koggenland","Noord-Holland",52.627698,4.891242
353,"Berkhout","Koggenland","Noord-Holland",52.6404363,4.9985175
354,"De Goorn","Koggenland","Noord-Holland",52.6275324,4.9449451
355,"Zuidermeer","Koggenland","Noord-Holland",52.6644734,4.9761474
356,"Benningbroek","Medemblik","Noord-Holland",52.7042382,5.0135027
357,"Sijbekarspel","Medemblik","Noord-Holland",52.7121865,4.9764999
358,"Abbekerk","Medemblik","Noord-Holland",52.7316774,5.0170886
359,"Lambertschaag","Medemblik","Noord-Holland",52.7482137,5.0149131
360,"De Weere","Opmeer","Noord-Holland",52.7350522,4.9771557
363,"Medemblik","Medemblik","Noord-Holland",52.7739543,5.1063209
365,"Opperdoes","Medemblik","Noord-Holland",52.7602994,5.0765027
366,"Twisk","Medemblik","Noord-Holland",52.7413549,5.0563358
367,"Oostwoud","Medemblik","Noord-Holland",52.7252238,5.0905909
368,"Midwoud","Medemblik","Noord-Holland",52.712653,5.0703139
369,"Zwaagdijk","Medemblik","Noord-Holland",52.7060522,5.1538239
375,"Wognum","Medemblik","Noord-Holland",52.6818409,5.0228454
